OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
79967,51059460400,51,059,460400,,,,,6698203.94140625,15265.2407132542
80046,51059432702,51,059,432702,,,42,11.72999954,2784138.984375,9269.20301615004
80047,51059440100,51,059,440100,,,,,10219577.671875,14000.5377137892
80132,51059422302,51,059,422302,,,22,3.4000001,4061075.79296875,8811.31093052331
80133,51059421702,51,059,421702,,,12,7.5,3293678.11328125,8566.44834272121
80597,51510200102,51,510,200102,,,38,2.97000003,1854984.390625,7298.41917523779
80598,51510200105,51,510,200105,,,27,1.25999999,308356.9453125,2414.26280264401
80599,51700032113,51,700,032113,,,,,12030293.8359375,15084.4478481975
80600,51163930102,51,163,930102,,,,,437384968.292969,115029.704506767
80601,51003010801,51,003,010801,,,30,2.92000008,3425608.02734375,12051.1783132931
80602,51003010904,51,003,010904,,,14,2.95000005,5017916.63671875,14234.3267983625
80603,51059480201,51,059,480201,,,,,11092792.046875,14776.7890087052
80604,51085321001,51,085,321001,,,,,10024324.1757813,13791.2565494914
80669,51163930101,51,163,930101,,,43,7.4000001,99072253.0390625,56239.3074360829
80670,51163930301,51,163,930301,,,,,483747136.453125,129067.696079311
80671,51163930302,51,163,930302,,,,,272077923,121691.294829612
80672,51003010603,51,003,010603,,,28,3.83999991,2380967.2734375,7857.26566662939
80673,51003011102,51,003,011102,,,,,9276129.46484375,16266.8079513186
80674,51127700301,51,127,700301,,,,,193774824.953125,86241.6785068944
80675,51003010302,51,003,010302,,,,,6919180.16015625,13954.7737134823
80676,51103030200,51,103,030200,,,21,4.46000004,170461514.332031,152612.63216772
80677,51103030100,51,103,030100,,,31,11.43999958,295304891.511719,224725.673802603
80678,51011040300,51,011,040300,,,20,5.17000008,603505642.753906,151210.183485673
80679,51011040200,51,011,040200,,,,,518258366.042969,124778.348274924
80680,51165010802,51,165,010802,,,,,64361425.6992188,44451.5671751411
80681,51165010801,51,165,010801,,,28,5.07999992,35210671.8476563,28031.2217204147
80745,51620090200,51,620,090200,,,216,20.88999939,8815285.87109375,16867.094220877
80746,51185020600,51,185,020600,,,,,500604707.359375,106419.22744399
