year,program,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_hiee,amt_other,tenure
2020-2021,CLP,"VHTF, HIEE",Bickerstaff Crossing,"38 Green Tree Circle, Bristol, VA 24201",ID/DD,60,0,6,6,24,30,0,0,637052,0,0,0,590835,14816603,Rental
2020-2021,CLP,"HIEE, HOME, NHTF, VHTF",Brook Villas,"8000 Villa Park Drive, Henrico, VA 23228",NA,84,0,0,0,42,42,0,0,175000,175000,175000,0,175000,17028314,Rental
2020-2021,CLP,"HIEE, VHTF",CRHA Crescent Halls,"500 S First Street, Charlottesville, VA 22901-5651",Disabled,105,105,22,21,32,52,0,0,100000,0,0,0,735000,24859330,Rental
2020-2021,CLP,"VHTF, HIEE, NHTF",CRHA South First Phase One,"1000 S First Street, Charlottesville, VA 22902",Disabled,62,0,14,13,18,31,0,0,250000,0,250000,0,434000,17291100,Rental
2020-2021,CLP,"HIEE, NHTF, VHTF",Friendship Court Phase I: PSH/HIEE,"418 Garrett Street, Charlottesville, VA 22902-5664",NA,106,0,0,0,46,30,30,0,200000,0,200000,0,1500000,39009544,Rental
2020-2021,CLP,VHTF,Goose Creek Crossing,"841 Jefferson Highway, Staunton, VA 24401",Disabled,116,0,12,12,47,22,35,0,700000,0,0,0,0,22097058,Rental
2020-2021,CLP,VHTF,Holly Court,"201 Wiggins Ave, Kilmarnock, VA 22482",NA,40,40,0,0,40,0,0,0,700000,0,0,0,0,3390815,Rental
2020-2021,CLP,VHTF,Lambert Landing II,"11501 Jefferson Davis Highway, Chester, VA 23831",NA,48,0,0,0,14,13,21,0,700000,0,0,0,0,9762178,Rental
2020-2021,CLP,VHTF,Magnolia Place Apartments,"701 Church Street, Blackstone, VA 23824",ID/DD,56,56,6,6,22,28,0,0,700000,0,0,0,0,5028719,Rental
2020-2021,CLP,VHTF,MWCLT's Dupuy Road,"2901 Dupuy Road, South Chesterfield, VA 23803",NA,10,0,0,0,0,10,0,0,700000,0,0,0,0,2168995,Homebuyer
2020-2021,CLP,VHTF,New Home - Oak Street - Aging In Place,"7811 Oak Street, Manassas, VA 20111-2210",ID/DD,6,0,6,6,0,0,0,0,400000,0,0,0,0,775000,Rental
2020-2021,CLP,VHTF,Oak Terrace,"1140 Portsmouth Blvd, Suffolk, VA 23434",Disabled,120,0,12,12,48,6,54,0,700000,0,0,0,0,23104059,Rental
2020-2021,CLP,"VHTF, NHTF",Powhatan Terrace Townhomes,"1676 Jamestown Road, Williamsburg, VA 23185-2941","ID/DD, Disabled",36,0,5,4,14,18,0,0,700000,0,500000,0,0,8670744,Rental
2020-2021,CLP,"VHTF, HIEE",Premier Circle PSH,"405 Premier Circle, Charlottesville, VA 22901",Homeless,80,0,80,0,80,0,0,0,900000,0,0,0,560000,17095318,Rental
2020-2021,CLP,VHTF,Quarry Station,"8750 Quarry Road, Manassas, VA 20110","ID/DD, SMI",80,80,8,8,47,25,0,0,700000,0,0,0,0,14102013,Rental
2020-2021,CLP,VHTF,Southwood Affordable Homeownership,"387 Hickory St., Charlottesville, VA 22902",NA,26,0,0,0,14,9,3,0,1400000,0,0,0,0,5133798,Homebuyer
2020-2021,CLP,VHTF,THC Newport Gardens,"927 Hull Stret, Richmond, VA 23224",NA,50,0,0,0,4,46,0,0,850000,0,0,0,0,9292029,Rental
2020-2021,CLP,VHTF,Arlington View Terrace East,"2230 N Fairfax Drive, Arlington, VA 22201","ID/DD, Disabled",77,0,8,8,69,0,0,0,900000,0,0,0,0,38257671,Rental
2020-2021,CLP,"VHTF, NHTF",Carrier Point I ,"2800 Jefferson Avenue, Newport News, VA 23607",NA,43,0,0,2,17,18,0,6,700000,0,700000,0,0,12837043,Rental
2020-2021,CLP,"VHTF, NHTF",Carrier Point II,"2700 Jefferson Avenue, Newport News, VA 23607",NA,38,0,0,2,19,4,9,4,700000,0,700000,0,0,10457749,Rental
2020-2021,CLP,VHTF,Central United Methodist Church Ballston Station,"4318 N Carlin Springs Road, Arlington, VA 22203","ID/DD, SMI, Homeless",144,0,6,0,75,66,3,0,900000,0,0,0,0,63447023,Rental
2020-2021,CLP,VHTF,City Line Apartments,"155 Mytilene Drive, Newport News, VA 23605","ID/DD, SMI",200,200,20,100,100,0,0,0,900000,0,0,0,0,32783000,Rental
2020-2021,CLP,VHTF,Cool Lane Apartments,"1900 Cool Lane, Richmond, VA 23223",Homeless,86,86,43,0,86,0,0,0,300000,0,0,0,0,17783137,Rental
2020-2021,CLP,VHTF,Daffodil Gardens Phase 2 ,"5962 Fiddlers Green Road, Gloucester, VA 23061-4175",ID/DD,40,0,5,0,20,20,0,0,260000,0,0,0,0,7472720,Rental
2020-2021,CLP,"HOME, VHTF",Fairview Town Homes,"745 Fairview Road, Wytheville, VA 24382","ID/DD, SMI, Homeless, Disabled",12,0,4,0,6,0,0,6,150000,650000,0,0,0,1363658,Rental
2020-2021,CLP,"HOME, VHTF, NHTF",Florida Terrace,"2117 Florida Avenue, Lynchburg, VA 24503","ID/DD, Homeless, Disabled",31,0,16,8,7,16,0,0,700000,900000,450000,0,0,5114868,Rental
2020-2021,CLP,VHTF,Kilmarnock Village,"89 School Street, Kilmarnock, VA 22482 ",ID/DD,24,24,5,3,9,12,0,0,240000,0,0,0,0,2978288,Rental
2020-2021,CLP,VHTF,Northway ,"128 Wilson Avenue, Galax, VA 24333",NA,72,72,0,0,36,36,0,0,500000,0,0,0,0,9460182,Rental
2020-2021,CLP,VHTF,Oakwood North Four,"5907 S Van Dorn Street, Alexandria, VA 22310","ID/DD, SMI, Homeless",79,0,4,2,28,49,0,0,900000,0,0,0,0,21426319,Rental
2020-2021,CLP,VHTF,Omni Park Place Senior Apartments,"101 Omni Road, Ashland, VA 23005-2481",Disabled,61,61,7,0,11,50,0,0,400000,0,0,0,0,8077776,Rental
2020-2021,CLP,"VHTF, NHTF, HOME",Ovation at Arrowbrook,"2296 Centereville Road, Herndon, VA 20171",ID/DD,126,0,6,13,51,62,0,0,900000,600000,900000,0,0,47394131,Rental
2020-2021,CLP,"HOME, VHTF",Renaissance Ridge Phase I ,"4149 Rockfish Valley Highway, Nellysford, VA 22958",NA,20,0,0,0,0,0,20,0,200000,400000,0,0,0,4366200,Homebuyer
2020-2021,CLP,"VHTF, HOME",Richmond Senior,"1611 Fourth Avenue, Richmond, VA 23222","Homeless, Disabled",349,349,65,35,314,0,0,0,900000,900000,0,0,0,62221814,Rental
2020-2021,CLP,VHTF,Sweetbriar II Apartments,"19274 Elementary Drive, Abingdon, VA 24210","ID/DD, SMI",22,0,5,0,11,11,0,0,600000,0,0,0,0,4763253,Rental
2020-2021,CLP,"VHTF, NHTF",The Coile,"80 29th Street, Newport News, VA 23607",ID/DD,62,0,7,7,31,0,24,0,700000,0,700000,0,0,16094748,Rental
2020-2021,CLP,"HOME, VHTF",Winchester Forest 9%,"2701 Drewrys Bluff Road, Chesterfield, VA 23237",Disabled,72,0,11,0,36,36,0,0,700000,700000,0,0,0,16229842,Rental
2020-2021,CLP,"HOME, VHTF",Woods at Yorktown NC,"4915 Radford Avenue, Richmond, VA 23230",NA,60,0,0,0,32,15,13,0,500000,300000,0,0,0,15038883,Rental
2021-2022,CLP,VHTF,1203 East Brookland Park Blvd.,"1203 E Brookland Park Blvd, Richmond, VA 23222",,43,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,925 Apartments I,"925 S Military Hwy, Virginia Beach, VA 23464",,128,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,ASPIRE,"645 Church St, Norfolk, VA 23510",,85,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Arbors at Birchwood,"3808 Virginia Beach Blvd, Virginia Beach, VA 23452",,105,,,,,,,,100000,,,,,,Rental
2021-2022,CLP,VHTF,Arna Marbella,"1301 N Queen St, Arlington, VA 22209",,163,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Ashlake Crossing,"7440 Ashlake Pkwy, Chesterfield, VA 23832",,67,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Ashlake Trails,"14500 Ashbrook Pkwy, Chesterfield, VA 23832",,67,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Autumn Willow 4,"13090 Autumn Willow Dr, Fairfax, VA 22030",,75,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Autumn Willow 9,"13090 Autumn Willow Dr, Fairfax, VA 22030",,75,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Bellwood Crossing,"8075 Jefferson Davis Hwy, Richmond, VA 23237",,102,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Blaine Landing,"7581 Richmond Rd, Williamsburg, VA 23188",,59,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Brinshore Blocks 17 & 18,"420 St Pauls Blvd, Norfolk, VA 23510",,97,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Choice Neighborhood III,"2900 Jefferson Ave, Newport News, VA 23607",,58,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Choice Neighborhood IV,"2998 Jefferson Ave, Newport News, VA 23607",,69,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Colbrook,"2500 Colbrook Hls St, Chester, VA 23831",,47,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Creighton Phase A,"3070 Nine Mile Rd, Richmond, VA 23223",,63,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Creighton Phase B,"3242 Nine Mile Rd, Richmond, VA 23223",,72,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Fairfax Hall,"1115 Reservoir St, Waynesboro, VA 22980",,54,,,,,,,,773543,,,,,,Rental
